DB Item Name,DB Price,Current Xero Code,Matched Xero Code,Xero Name,Xero Price,Xero Account,Xero Status,Match Score,Price Match
"KOJA - Oat Bar - Dark Choc Chip (60g)",26.64,KOJ000,KOJ000,"KOJA - Oat Bar - Dark Choc Chip (60g)",26.64,109,Active,1.00,Yes
"KOJA - Oat Bar - Lemon & Coconut (60g)",26.64,KOJ008,KOJ008,"KOJA - Oat Bar - Lemon & Coconut (60g)",26.64,109.00008,Active,1.00,Yes
"KOJA - Oat Bar - Maple (60g)",26.64,KOJ001,KOJ001,"KOJA - Oat Bar - Maple (60g)",26.64,109.00001,Active,1.00,Yes
"KOJA - Oat Bar - White Choc & Macadamia (60g)",26.64,KOJ002,KOJ002,"KOJA - Oat Bar - White Choc & Macadamia (60g)",26.64,109.00002,Active,1.00,Yes
"KOJA - Oat Bites - Choc Chip (150g)",32.4,KOJ006,KOJ006,"KOJA - Oat Bites - Choc Chip (150g)",32.4,109.00006,Active,1.00,Yes
"KOJA - Oat Bites - Muesli Slice (150g)",32.4,KOJ007,KOJ007,"KOJA - Oat Bites - Muesli Slice (150g)",32.4,109.00007,Active,1.00,Yes
"KOJA - Oat Bites - Raspberry Choc Chip (150g)",32.4,KOJ014,KOJ014,"KOJA - Oat Bites - Raspberry Choc Chip (150g)",32.4,109.00014,Active,1.00,Yes
"KOJA - Peanut Butter Bar - Peanut Chocolate (30g)",35.52,KOJ013,KOJ013,"KOJA - Peanut Butter Bar - Peanut Chocolate (30g)",35.52,109.00013,Active,1.00,Yes
"KOJA - Peanut Butter Bar - Peanut Crunch (30g)",35.52,KOJ012,KOJ012,"KOJA - Peanut Butter Bar - Peanut Crunch (30g)",35.52,109.00012,Active,1.00,Yes
"KOJA - Salted Caramel Wholegrain Popcorn (22g)",43.2,KOJ016,KOJ016,"KOJA - Salted Caramel Wholegrain Popcorn (22g)",43.2,109.000016,Active,1.00,Yes
"KOJA Cacao Oat Bar 60g",2.22,,KOJ001,"KOJA - Oat Bar - Maple (60g)",26.64,109.00001,Active,0.80,No
"KOJA Choc Berry Protein Bar 45g",2.54,,KOJ010,"KOJA - Choc Protein Bar - Choc Berry (45g)",40.64,109.0001,Active,0.86,No
"KOJA Cinnamon & Raisin Oat Bar 60g",2.22,,KOJ009,"KOJA - Oat Bar - Cinnamon & Raisin (60g)",26.64,109.00009,Active,1.00,No
